City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Georgetown,MY,2022-04-01 17:23:58,5.4112,100.3354,80.53,88,20,3.44,few clouds,0.0,0.0
1,Laguna De Perlas,NI,2022-04-01 17:23:59,12.3429,-83.6712,86.09,70,75,11.45,broken clouds,0.0,0.0
2,Ushuaia,AR,2022-04-01 17:22:42,-54.8,-68.3,46.02,87,75,19.57,broken clouds,0.0,0.0
3,Port Elizabeth,ZA,2022-04-01 17:23:59,-33.918,25.5701,66.09,78,0,14.97,clear sky,0.0,0.0
4,Pacific Grove,US,2022-04-01 17:24:00,36.6177,-121.9166,56.55,86,40,5.01,scattered clouds,0.0,0.0
5,Atuona,PF,2022-04-01 17:22:50,-9.8,-139.0333,78.21,73,48,5.91,scattered clouds,0.0,0.0
6,Barrow,US,2022-04-01 17:24:00,71.2906,-156.7887,-11.18,70,0,18.41,clear sky,0.0,0.0
7,San Patricio,US,2022-04-01 17:24:01,28.017,-97.5169,80.69,41,76,16.6,broken clouds,0.0,0.0
8,Coatepec,MX,2022-04-01 17:24:01,19.45,-96.9667,80.37,47,35,7.4,scattered clouds,0.0,0.0
9,Hithadhoo,MV,2022-04-01 17:24:02,-0.6,73.0833,83.55,71,9,7.52,clear sky,0.0,0.0
10,Kapaa,US,2022-04-01 17:24:03,22.0752,-159.319,73.18,87,40,17.27,scattered clouds,0.0,0.0
11,Codrington,AU,2022-04-01 17:24:03,-38.2667,141.9667,55.26,76,92,8.39,overcast clouds,0.0,0.0
12,Busselton,AU,2022-04-01 17:24:04,-33.65,115.3333,69.58,81,65,5.99,broken clouds,0.0,0.0
13,Mataura,NZ,2022-04-01 17:22:53,-46.1927,168.8643,39.07,99,6,1.7,clear sky,0.0,0.0
14,New Norfolk,AU,2022-04-01 17:24:04,-42.7826,147.0587,53.1,72,100,1.99,overcast clouds,0.0,0.0
15,Kodiak,US,2022-04-01 17:24:05,57.79,-152.4072,36.91,100,100,11.5,light rain,0.0,0.0
16,Akyab,MM,2022-04-01 17:24:05,20.15,92.9,78.96,85,19,4.05,few clouds,0.0,0.0
17,Hambantota,LK,2022-04-01 17:24:06,6.1241,81.1185,80.22,80,14,7.14,few clouds,0.0,0.0
18,Mahibadhoo,MV,2022-04-01 17:24:06,3.7833,72.9667,83.95,65,7,1.63,clear sky,0.0,0.0
19,Svetlogorsk,BY,2022-04-01 17:24:07,52.6333,29.7333,33.93,97,100,14.92,overcast clouds,0.0,0.0
20,Tuktoyaktuk,CA,2022-04-01 17:24:07,69.4541,-133.0374,-23.8,69,0,5.75,clear sky,0.0,0.0
21,Chuy,UY,2022-04-01 17:23:59,-33.6971,-53.4616,66.24,45,26,9.33,scattered clouds,0.0,0.0
22,Orahovac,XK,2022-04-01 17:24:08,42.3994,20.6547,55.26,85,94,7.49,overcast clouds,0.0,0.0
23,San Quintin,MX,2022-04-01 17:24:09,30.4833,-115.95,61.34,60,53,4.68,broken clouds,0.0,0.0
24,Chara,RU,2022-04-01 17:24:09,56.9064,118.2631,15.3,77,100,2.06,overcast clouds,0.0,0.0
25,Nanortalik,GL,2022-04-01 17:24:10,60.1432,-45.2371,41.25,75,66,6.11,broken clouds,0.0,0.0
26,North Bend,US,2022-04-01 17:22:15,43.4065,-124.2243,51.17,93,0,0.0,clear sky,0.0,0.0
27,Teknaf,BD,2022-04-01 17:24:12,20.8624,92.3058,76.41,87,7,2.51,clear sky,0.0,0.0
28,Victoria,HK,2022-04-01 17:22:44,22.2855,114.1577,62.33,84,100,7.0,overcast clouds,0.0,0.0
29,Katsuura,JP,2022-04-01 17:24:12,35.1333,140.3,44.83,59,99,11.05,overcast clouds,0.0,0.0
30,Jalingo,NG,2022-04-01 17:24:13,8.8833,11.3667,98.71,8,97,4.81,overcast clouds,0.0,0.0
31,Puerto Madryn,AR,2022-04-01 17:20:57,-42.7692,-65.0385,77.2,15,93,18.45,overcast clouds,0.0,0.0
32,Sao Francisco De Assis,BR,2022-04-01 17:21:55,-29.5503,-55.1311,68.77,41,0,12.26,clear sky,0.0,0.0
33,Yellowknife,CA,2022-04-01 17:22:38,62.456,-114.3525,-7.58,66,40,10.36,scattered clouds,0.0,0.0
34,Ribeira Grande,PT,2022-04-01 17:24:14,38.5167,-28.7,61.2,82,75,20.71,broken clouds,0.0,0.0
35,Marondera,ZW,2022-04-01 17:24:14,-18.1853,31.5519,62.71,75,100,4.38,light rain,0.0,0.0
36,Luderitz,NA,2022-04-01 17:24:14,-26.6481,15.1594,68.7,56,0,26.26,clear sky,0.0,0.0
37,Rikitea,PF,2022-04-01 17:24:15,-23.1203,-134.9692,76.14,59,81,16.96,broken clouds,0.0,0.0
38,Kemijarvi,FI,2022-04-01 17:24:15,66.7131,27.4306,20.25,87,100,3.51,overcast clouds,0.0,0.0
39,Motygino,RU,2022-04-01 17:24:16,58.1831,94.7592,22.59,98,100,2.46,overcast clouds,0.0,0.0
40,Ilulissat,GL,2022-04-01 17:24:17,69.2167,-51.1,26.62,74,20,3.44,few clouds,0.0,0.0
